LOCALIZACIÓN:,,,,,,,,,,,,,
PRODUCTO:,MIXOU,,,,,,,,,,,,
TIPO DE ENVÍO:,2COL,,,,,,,,,,,,
FENVIO:,,,,,,,,,,,,,
HEADER:,https://houdinis.atrapalo.com/houdinis/wp-content/uploads/2025/11/600x400_2-2.gif,,,,,,,,,,,,
LINK HEADER:,https://www.turismomadrid.es/es/,,,,,,,,,,,,
ASUNTO:,,,,,,,,,,,,,
PREHEADER:,,,,,,,,,,,,,
TXT_BOTON_FOOTER:,Sigue explorando,,,,,,,,,,,,
LINK_FOOTER:,https://www.atrapalo.com/actividades/madrid/#buscador?atr_trk=N1-20251130-COM_301125_PUBLI_MAD_ComunidadMadrid,,,,,,,,,,,,
BANNER_FOOTER:,https://houdinis.atrapalo.com/houdinis/wp-content/uploads/2025/11/Footer_Warner_SORTEO-4.png,,,,,,,,,,,,
LINK_BANNER_FOOTER:,https://www.atrapalo.com/houdinis/escapadas-desde-madrid/,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Orden,Nombre Oferta,Metadato 1,Metadato 2,Descripción,URL foto,URL oferta,Descuento,Precio,Precio ATR,TAGS,RATING,SEPARADOR,SEPARADOR IMG
1,Safari en Madrid,Safari Madrid,"Aldea del Fresno, Madrid",Embárcate en una aventura salvaje y disfruta de animales en semilibertad a solo 50 km de la capital. Todos los días.,https://cdn.atrapalo.com/o/event/4803414/1587328.jpg?auto=avif&width=600&quality=75&height=315,https://www.atrapalo.com/actividades/vive-la-emocion-de-safari-madrid-una-experiencia-salvaje-y-divertida_e4803414/?atr_trk=N1-4803414-COM_301125_PUBLI_MAD_ComunidadMadrid,17,18,15,Oferta exclusiva,8.6 - Extraordinario,,
2,Raquetas de nieve,Puerto de Navacerrada,Madrid,"Camina por la nieve y disfruta de las vistas y el aire puro de la sierra, en una ruta de dificultad media.",https://cdn.atrapalo.com/o/event/54143/327431.jpg?auto=avif&width=600&quality=75&height=315,https://www.atrapalo.com/actividades/raquetas-de-nieve-en-la-sierra-de-guadarrama_e54143/?atr_trk=N1-54143-COM_301125_PUBLI_MAD_ComunidadMadrid,38,32,20,Oferta exclusiva,9.1 - Extraordinario,,
3,Visita a bodega con cata de vino y queso,Bodega del Nero,Madrid,"Recorre en tren turístico Chinchón, y visita una bodega histórica con cata de vinos y quesos.",https://cdn.atrapalo.com/o/event/4805187/435247.jpg?auto=avif&width=600&quality=75&height=315,https://www.atrapalo.com/actividades/conoce-la-historia-de-chinchon-en-una-bodega-con-cata-de-vino-y-queso_e4805187/?atr_trk=N1-4805187-COM_301125_PUBLI_MAD_ComunidadMadrid,,,"11,50",Sin tag,9.4 - Extraordinario,,
4,Cata gourmet de 5 vinos y 5 pintxos,Bodega de los Reyes,Madrid,"Degusta 5 vinos y 5 pintxos y descubre los secretos de un buen vino, en esta bodega con más de 150 años.",https://cdn.atrapalo.com/o/event/4803570/1652508.jpg?auto=avif&width=600&quality=75&height=315,https://www.atrapalo.com/actividades/cata-gourmet-5-vinos-5-pintxos-experiencia-en-bodega-de-los-reyes_e4803570/?atr_trk=N1-4803570-COM_301125_PUBLI_MAD_ComunidadMadrid,,,30,Sin tag,9.6 - Extraordinario,,
5,La Casita de Navidad,Finca La Esgaravita,"Alcalá de Henares, Madrid","Prepárate para sentir la Navidad como nunca antes, entre animales, pinos, acebos y un ambiente encantador.",https://cdn.atrapalo.com/o/event/4934449/1732411.jpg?auto=avif&width=600&quality=75&height=315,https://www.atrapalo.com/actividades/la-casita-de-navidad_e4934449/?atr_trk=N1-4934449-COM_301125_PUBLI_MAD_ComunidadMadrid,17,30,25,Oferta exclusiva,,,
6,Parque Mágicas Navidades,Mágicas Navidades,"Torrejón de Ardoz, Madrid","Deja que la ilusión te envuelva en el parque más mágico, con más de 100.000m2 de experiencias navideñas.",https://cdn.atrapalo.com/o/event/4932223/1707503.jpg?auto=avif&width=600&quality=75&height=315,https://www.atrapalo.com/actividades/entrada-al-parque-magicas-navidades-ice-festival-iv_e4932223/?atr_trk=N1-4932223-COM_301125_PUBLI_MAD_ComunidadMadrid,,,18,Novedad,,,
7,Experiencia inmersiva,Ikono,Madrid,Despierta tus sentidos en una experiencia inmersiva con más de 10 salas llenas de espacios sorprendentes.,https://cdn.atrapalo.com/o/event/4914136/1600550.jpg?auto=avif&width=600&quality=75&height=315,https://www.atrapalo.com/actividades/ikono-madrid-experiencia-inmersiva_e4914136/?atr_trk=N1-4914136-COM_301125_PUBLI_MAD_ComunidadMadrid,25,"13,90","10,43",Oferta exclusiva,8.4 - Excelente,,
8,Parque multiaventura,Aventura Amazonia,"Pelayos de la Presa, Madrid","Vive una aventura entre árboles con 5 circuitos, 95 juegos y la tirolina más larga de España.",https://cdn.atrapalo.com/o/event/4800460/1104798.jpg?auto=avif&width=600&quality=75&height=315,https://www.atrapalo.com/actividades/adrenalina-en-aventura-amazonia-el-parque-multiaventura-definitivo_e4800460/?atr_trk=N1-4800460-COM_301125_PUBLI_MAD_ComunidadMadrid,15,14,"11,90",Sin tag,9.3 - Extraordinario,,
9,Brunch con actuación musical ,Bule Bule,Madrid,"Únete a las actuaciones, canta, baila y ríe, mientras disfrutas de un delicioso y divertido brunch.",https://cdn.atrapalo.com/o/event/4902296/1529166.jpg?auto=avif&width=600&quality=75&height=315,https://www.atrapalo.com/actividades/el-brunch-del-bule-bule-diversion-asegurada_e4902296/?atr_trk=N1-4902296-COM_301125_PUBLI_MAD_ComunidadMadrid,27,48,35,Sin tag,,,
10,Cocido de los miércoles,Restaurante Escándalo,Madrid,"Los miércoles saben a tradición y toca comer menú de cocido completo, servido en varios vuelcos.",https://cdn.atrapalo.com/o/event/4931885/1705872.jpg?auto=avif&width=600&quality=75&height=315,https://www.atrapalo.com/actividades/cocido-de-los-miercoles-en-canopy-by-hilton-castellana_e4931885/?atr_trk=N1-4931885-COM_301125_PUBLI_MAD_ComunidadMadrid,22,27,21,Sin tag,,,